id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,platform
tm918959,A Go! Go! Cory Carson Summer Camp,MOVIE,"Cory's spending the summer at Camp Friendship with his best friend, Freddie. But jealousy flares when Freddie brings his cousin Rosie along for the ride.",2020,,20,"['animation', 'family']",['US'],,,,,2.133,2.5,netflix
tm1147120,"The Witcher Bestiary Season 1, Part 2",MOVIE,"Basilisks, dragons and more beasts haunt the Continent. Explore the mythologies of the mysterious monsters Geralt hunts to earn the coins tossed his way.",2020,,10,['documentation'],['US'],,,,,2.109,5.933,netflix
tm483511,Jai Mummy Di,MOVIE,Jai Mummy Di is a light-hearted family comedy that portrays the trials and tribulations a couple has to undergo due to the dynamics between their respective mothers.,2020,,103,"['comedy', 'drama', 'romance']",['IN'],,tt9817760,3.7,1039,2.106,6.1,netflix
tm915889,Sugar Rush,MOVIE,"The Sugar Sisters discover a whopping $800,000, the financial crimes commission and the supposed owners of the money come for them. Now they team up with unlikely allies and it’s a race against the clock to set things right.",2019,,123,"['drama', 'comedy', 'action']",['NG'],,tt11430264,5.3,127,2.043,6.4,netflix
tm838954,Wira,MOVIE,"After a long stint in the army, an ex-lieutenant returns home and enters an underground MMA match to take on a local mobster and protect his family.",2019,,1,"['drama', 'crime', 'action']",['MY'],,tt11194492,6.3,576,2.011,4.8,netflix
tm976632,Indoo Ki Jawani,MOVIE,A feisty girl from Ghaziabad makes her profile on an online dating app and her left and right swipes on the app lead to hilarious consequences.,2020,,115,"['comedy', 'drama']",['IN'],,tt13755582,3,6075,1.993,3.5,netflix
tm834653,The Knight and the Princess,MOVIE,"An unwavering young warrior's determination to save women and children abducted by pirates, leads him to his sweetheart and to confront a brutal tyrant and his devious sorcerer.",2019,PG,97,"['history', 'animation', 'comedy', 'family', 'fantasy']","['EG', 'SA']",,tt10963790,5.7,457,1.961,6,netflix
tm879556,David A. Arnold Fat Ballerina,MOVIE,"Finally comfortable in his skin, seasoned comic David A. Arnold shares his talent for doing nothing, how he's petty and why divorce saves marriages.",2020,,60,['comedy'],['US'],,tt11916980,6.9,142,1.956,5.1,netflix
tm1114639,Motu Patlu in the Game of Zones,MOVIE,"A board game becomes all too real for buddies Motu and Patlu when they get transported into its world of monsters, magic and mayhem.",2020,,87,"['thriller', 'fantasy', 'action', 'animation', 'comedy']",['IN'],,tt20872648,,,1.917,10,netflix
tm859424,Maradona's Legs,MOVIE,"During the 1990 World Cup, two young Palestinian boys are on a quest for “Maradona’s legs”; the last missing sticker that they need in order to complete their world cup album and win a free Atari.",2019,,24,"['drama', 'comedy']","['AF', 'DE', 'PS']",,,,,1.903,6.4,netflix
tm884531,Making Unorthodox,MOVIE,"Documentary about the making of the Netflix FIlm ""Unorthodox""",2020,,21,['documentation'],['DE'],,,,,1.879,7.8,netflix
tm821662,Vikruthi,MOVIE,"Mistaking the sleeping passenger on his train for a drunk, a young man posts a picture of him online, unaware of his impulsive act's ugly repercussions.",2019,,123,"['comedy', 'drama']",['IN'],,tt10608668,7.4,1681,1.877,6.8,netflix
tm827064,Blessers,MOVIE,"Middle-aged businessman Jacob Zulu has become accustomed to his routine, a life which includes his wife Michelle, his daughter Natasha, his work and his fun. As a powerful CEO, with a big house, a successful spouse, a family and expensive recreational habits, Jacob feels like life will always be this easy.",2019,,86,['comedy'],['ZA'],,tt11092026,6.6,35,1.856,2,netflix
tm677904,2 Weeks in Lagos,MOVIE,"2 Weeks in Lagos is a turbulent and thrilling journey into the lives of Ejikeme and Lola. Their lives collide when Ejikeme, an investment banker, comes home from the United States with Lola's brother Charlie to invest in Nigerian businesses. 2 Weeks in Lagos captures the excitement, vibrancy, and complexity of everyday life in Lagos, a dynamic city where anything is possible in 2 weeks.",2019,,107,"['comedy', 'drama', 'romance']",['NG'],,tt10241024,6.1,61,1.796,2,netflix
ts250920,Home Game,SHOW,"This docuseries profiles unique and dangerous traditional sports from around the world, as well as the communities and cultures where they thrive.",2020,TV-MA,29,"['documentation', 'sport']",['US'],1,tt12429046,7,966,1.791,6.1,netflix
