id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,platform
tm162906,Captain America: The First Avenger,MOVIE,"During World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull – Adolf Hitler's ruthless head of weaponry, and the leader of an organization that intends to use a mysterious device of untold powers for world domination.",2011,PG-13,125,"['scifi', 'action']",['US'],,tt0458339,6.9,880366,45.48,6.995,disney
ts20443,Tron: Uprising,SHOW,"In the computer world of the Grid, a young program joins Tron's fight against their world's tyranny.",2012,TV-14,23,"['family', 'scifi', 'animation', 'action']",['US'],1,tt1812523,8.2,8701,79.5,7.539,disney
tm30584,Wreck-It Ralph,MOVIE,"Wreck-It Ralph is the 9-foot-tall, 643-pound villain of an arcade video game named Fix-It Felix Jr., in which the game's titular hero fixes buildings that Ralph destroys. Wanting to prove he can be a good guy and not just a villain, Ralph escapes his game and lands in Hero's Duty, a first-person shooter where he helps the game's hero battle against alien invaders. He later enters Sugar Rush, a kart racing game set on tracks made of candies, cookies and other sweets. There, Ralph meets Vanellope von Schweetz who has learned that her game is faced with a dire threat that could affect the entire arcade, and one that Ralph may have inadvertently started.",2012,PG,108,"['comedy', 'family', 'fantasy', 'scifi', 'animation']",['US'],,tt1772341,7.7,447645,53.334,7.331,disney
ts6308,The Finder,SHOW,"Walter Sherman, an Iraq War veteran, has the extraordinary ability to help people find the unfindable.",2012,TV-14,44,"['drama', 'comedy', 'crime', 'romance']",['US'],1,tt1943524,7.7,17264,88.427,7.016,disney
tm171064,Thor,MOVIE,"Against his father Odin's will, The Mighty Thor - a powerful but arrogant warrior god - recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here, Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth.",2011,PG-13,115,"['fantasy', 'action']",['US'],,tt0800369,7,884897,67.458,6.767,disney
tm176113,Rio,MOVIE,"Captured by smugglers when he was just a hatchling, a macaw named Blu never learned to fly and lives a happily domesticated life in Minnesota with his human friend, Linda. Blu is thought to be the last of his kind, but when word comes that Jewel, a lone female, lives in Rio de Janeiro, Blu and Linda go to meet her. Animal smugglers kidnap Blu and Jewel, but the pair soon escape and begin a perilous adventure back to freedom -- and Linda.",2011,G,96,"['comedy', 'family', 'animation', 'action', 'music']",['US'],,tt1436562,6.9,242722,55.968,6.722,disney
tm51645,Brave,MOVIE,"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.",2012,PG,100,"['comedy', 'family', 'fantasy', 'animation', 'action', 'drama']",['US'],,tt1217209,7.1,432429,68.832,7.014,disney
tm166712,George W. Bush: The 9/11 Interview,MOVIE,"In the National Geographic Channel special, “George W. Bush: The 9-11 Interview,” the former President talks about the chaotic moments after the attacks and the reasoning behind decisions he made that day.  Bush reflects on being told about the attacks while visiting schoolchildren in Florida and the difficulty in getting accurate information in what he calls “the fog of war.” He also talks about returning to the White House to address Americans in the hours after the terrorist attacks.  Fearing a possible psychological boost for al-Qaeda, Bush said he, quote, “damn sure wasn’t going to give it from a bunker in Nebraska.”  The former President recalls the emotional visit to Ground Zero just three days after the World Trade Center Towers were destroyed.  He describes “a palpable bloodlust” among workers in the ruins who were encouraging him to retaliate against those behind the attacks.",2011,,45,['documentation'],['US'],,tt2039342,6.7,159,0.826,7.5,disney
ts41241,To Catch a Smuggler,SHOW,"Millions enter the US through airports each year, and hid amongst them are a stream of contraband ill intentions. Defending our borders are the vigilant men and women of the Department of Homeland Security, whose agencies make up a three-tiered defense of America’s airports. DHS will stop at nothing to catch a smuggler.",2012,TV-14,46,"['documentation', 'reality', 'crime']",['US'],7,tt12597878,6.8,222,8.532,5.9,disney
ts35950,Wicked Tuna,SHOW,"Fishing is a hard life, and harder with bluefin stocks depleted. In Gloucester, Massachusetts, there's a special breed of fishermen. For generations they've used rod and reel to catch the elusive bluefin tuna. They depend on these fish for their livelihood, and the competition is brutal. Over the next 10 weeks, the most skilled fishermen will set out in the frigid waters of the North Atlantic in hopes of catching the valuable bluefin tuna. When one bluefin can bring in as much as $20,000—they'll do whatever it takes to hook up.",2012,TV-14,45,"['reality', 'action']",['US'],12,tt26472829,6.5,1058,74.697,7.1,disney
tm164345,The Muppets,MOVIE,"When Kermit the Frog and the Muppets learn that their beloved theater is slated for demolition, a sympathetic human, Gary, and his puppet brother, Walter, swoop in to help the gang put on a show and raise the $10 million they need to save the day.",2011,PG,103,"['comedy', 'family']",['US'],,tt1204342,7.1,95783,20.986,6.675,disney
ts4693,Brain Games,SHOW,"Get ready to have your mind messed with! ""Brain Games"" is a groundbreaking series that uses interactive experiments, misdirection and tricks to demonstrate how our brains create the illusion of seamless reality through our memory, through our sensory perception, and how we focus our attention.",2011,TV-PG,30,"['documentation', 'comedy']",['US'],8,tt2078690,8.2,3476,39.139,7.574,disney
ts27755,Randy Cunningham: 9th Grade Ninja,SHOW,"Randy Cunningham: 9th Grade Ninja is an American animated television series created by Jed Elinoff and Scott Thomas for Disney XD. It is produced by Titmouse, Inc. and Boulder Media Limited. Many of the character designs were supplied by Jhonen Vasquez, the creator of Invader Zim. The series premiered on September 17, 2012.",2012,TV-Y7,17,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy']",['US'],2,tt2341339,6.7,1529,17.818,8.5,disney
tm36299,Marvel One-Shot: Item 47,MOVIE,"Benny and Claire, a down-on-their-luck couple, find a discarded Chitauri weapon referred to as 'Item 47'.",2012,PG,12,"['scifi', 'fantasy']",['US'],,,,,11.672,6.453,disney
tm173830,Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer,MOVIE,Agent Coulson stops at a convenience store and deals with a coincidental robbery during his visit.,2011,PG-13,4,"['scifi', 'fantasy']",['US'],,,,,11.229,6.8,disney
ts20416,Marvel's Ultimate Spider-Man,SHOW,"While being trained by S.H.I.E.L.D., Spider-Man battles evil with a new team of teen colleagues.",2012,TV-Y7,22,"['action', 'animation', 'comedy', 'family', 'scifi']",['US'],4,tt1722512,7.2,13714,48.246,7.665,disney
ts9795,Austin & Ally,SHOW,"A comedy about the unique relationship between a young songwriter, Ally Dawson, and Austin Moon, the overnight internet sensation who gains sudden notoriety after performing one of Ally's songs. Austin and Ally struggle with how to maintain and capitalize on Austin's newfound fame. Austin is more of a rebel type who doesn't follow the rules and is somewhat immature for his age, while Ally is conservative yet self-conscious.",2011,TV-G,23,"['drama', 'comedy', 'family', 'music', 'romance']",['US'],4,tt1830491,6,12790,78.3,7.967,disney
ts20635,Jessie,SHOW,"An idealistic teen from rural Texas embarks on the adventure of a lifetime when she decides to leave behind starry nights for big city lights. Thrilled to be on her own and determined not to be intimidated by New York City, she accepts a job as nanny for a high-profile couple with four kids. Helping to keep her moral compass in check are Bertram, the family's butler, and Tony, the building's 20-year-old doorman.",2011,TV-G,26,"['comedy', 'drama', 'family']",['US'],4,tt1865769,6.1,17987,56.352,8.09,disney
tm178393,Ice Age: A Mammoth Christmas,MOVIE,"When Sid accidentally destroys Manny's heirloom Christmas rock and ends up on Santa's naughty list, he leads a hilarious quest to the North Pole to make things right and ends up making things much worse. Now it's up to Manny and his prehistoric posse to band together and save Christmas for the entire world!",2011,PG,26,"['animation', 'family']",['US'],,,,,27.053,6.4,disney
