person_id,id,name,character,role,platform
1038522,tm61729,Jud Conlon,Townsfolk (voice) (uncredited),ACTOR,disney
306926,tm61729,Mack McLean,Townsfolk (voice) (uncredited),ACTOR,disney
31237,tm61729,Clarence Nash,Ichabod's Horse (voice) (uncredited),ACTOR,disney
563448,tm61729,Loulie Jean Norman,Townsfolk (voice) (uncredited),ACTOR,disney
13779,tm61729,Oliver Wallace,Mr. Winkie (voice) (uncredited),ACTOR,disney
553012,tm61729,Gloria Wood,Townsfolk (voice) (uncredited),ACTOR,disney
23438,tm61729,James Algar,,DIRECTOR,disney
7712,tm61729,Clyde Geronimi,,DIRECTOR,disney
25067,tm61729,Jack Kinney,,DIRECTOR,disney
79866,tm61052,Ilene Woods,Cinderella (voice),ACTOR,disney
7706,tm61052,Eleanor Audley,Lady Tremaine (voice),ACTOR,disney
5904,tm61052,Verna Felton,Fairy Godmother (voice),ACTOR,disney
128931,tm61052,Claire Du Brey,(credit only) (voice),ACTOR,disney
79867,tm61052,Rhoda Williams,Drizella (voice),ACTOR,disney
23435,tm61052,James MacDonald,Gus / Jaq (voice),ACTOR,disney
49088,tm61052,Helene Stanley,(credit only),ACTOR,disney
79868,tm61052,Luis van Rooten,King / Grand Duke (voice),ACTOR,disney
60612,tm61052,Don Barclay,Doorman (voice),ACTOR,disney
12864,tm61052,Lucille Bliss,Anastasia (voice),ACTOR,disney
79874,tm61052,Jeffrey Stone,(voice),ACTOR,disney
79869,tm61052,Mike Douglas,Prince Charming (singing voice),ACTOR,disney
79872,tm61052,William Phipps,Prince Charming (voice),ACTOR,disney
69473,tm61052,Earl Keen,Bruno (voice),ACTOR,disney
79876,tm61052,John Woodbury,(voice),ACTOR,disney
79877,tm61052,Lucille Williams,Perla - a Mouse (voice),ACTOR,disney
12876,tm61052,June Foray,Lucifer (voice),ACTOR,disney
39139,tm61052,Thurl Ravenscroft,(voice),ACTOR,disney
79871,tm61052,Clint McCauley,Mouse (voice),ACTOR,disney
79875,tm61052,June Sullivan,Mouse (voice),ACTOR,disney
79873,tm61052,Helen Seibert,Mouse (voice),ACTOR,disney
6145,tm61052,Marion Darlington,Birds (voice),ACTOR,disney
79870,tm61052,Betty Lou Gerson,Narrator (voice),ACTOR,disney
23446,tm61052,Wilfred Jackson,,DIRECTOR,disney
23442,tm61052,Hamilton Luske,,DIRECTOR,disney
7712,tm61052,Clyde Geronimi,,DIRECTOR,disney
13765,tm87946,Edward Brophy,Timothy Q. Mouse (voice),ACTOR,disney
1331088,tm87946,Margaret Wright,Casey Jr. (voice),ACTOR,disney
5904,tm87946,Verna Felton,Elephant Matriarch / Mrs. Jumbo (voice),ACTOR,disney
151288,tm87946,Sarah Selby,Prissy the Elephant (voice),ACTOR,disney
13771,tm87946,Noreen Gammill,Catty the Elephant (voice),ACTOR,disney
2029196,tm87946,Dorothy Scott,Giddy the Elephant (voice),ACTOR,disney
81249,tm87946,Herman Bing,The Ringmaster (voice),ACTOR,disney
13325,tm87946,Cliff Edwards,Dandy Crow (voice),ACTOR,disney
13769,tm87946,Jim Carmichael,Dopey Crow (voice),ACTOR,disney
582093,tm87946,Hall Johnson,Deacon Crow (voice),ACTOR,disney
13767,tm87946,James Baskett,Fats Crow (voice),ACTOR,disney
5900,tm87946,Sterling Holloway,Mr. Stork (voice),ACTOR,disney
598861,tm87946,John McLeish,Narrator (voice),ACTOR,disney
