id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,platform
tm846179,Pilgrim,MOVIE,"In an attempt to remind her family of their privilege and help them bond, Ms. Anna Barker invites Pilgrim reenactors to stay with them over Thanksgiving. When the “actors” refuse to break character, the Barker family learns that there is such a thing as too much gratitude.",2019,,80,"['thriller', 'horror']",['US'],,,,,14.234,5.919,hulu
ts227490,Cleopatra in Space,SHOW,"Cleopatra in Space is a comedic adventure focusing on the untold story of Cleopatra's teenage years. Viewers can follow Cleo as she is transported 30,000 years into the future, to an Egyptian-themed planet that is ruled by talking cats and where she discovers she is the prophesied savior of the future world. In order to prepare for her role and mission, Cleo is sent to an elite academy where she has to train to take on the bad guys, figure out how to eventually get herself back home to Egypt, as well as tackling the highs and lows of being a teenager in high school.",2020,TV-Y7,22,"['scifi', 'animation', 'action', 'comedy', 'family']",['US'],3,tt11343400,6.6,253,13.03,9.8,hulu
ts252988,Life Below Zero: Next Generation,SHOW,Individuals who have recently left their traditional lifestyle behind face a challenging new world off the grid in the wilds of Alaska.,2020,TV-14,45,['reality'],['US'],6,tt13049144,5.4,290,12.723,8.8,hulu
ts223237,Court Cam,SHOW,"An in-depth examination of some of the most stunning and emotional courtroom moments caught on camera, from frightening outbursts to furious judges.",2019,TV-14,20,"['reality', 'documentation']",['US'],6,tt11210072,7.4,351,11.826,8.6,hulu
tm413562,Spy Cat,MOVIE,"Four crazy antiheroes on the run. Their leader is the unworldly innocent, naive Marnie, a house cat who is not allowed to leave the house and only knows about real life from television",2019,PG,84,"['comedy', 'action', 'animation', 'family']","['DE', 'BE']",,tt5746054,5.5,1251,11.459,6.812,hulu
ts343662,First Day,SHOW,"It's Hannah Bradford's first year of high school. As a transgender girl, Hannah not only has to navigate the challenges that come with starting a new school, but find the courage to live as her most authentic self.",2020,,23,['drama'],['AU'],2,tt10614090,6.9,276,11.196,9.833,hulu
tm457988,Treehouse,MOVIE,"Celebu-chef Peter Rake escapes a scandal for a weekend at his family’s isolated vacation home, but there are debts to repay and Peter has to learn the lesson that a woman’s place is anywhere that she chooses to be… if he survives.",2019,,84,['horror'],['US'],,,,,10.874,5.478,hulu
tm864504,Endless,MOVIE,"When madly in love high school graduates Riley and Chris are separated by a tragic car accident, Riley blames herself for her boyfriend's death while Chris is stranded in limbo. Miraculously, the two find a way to connect.",2020,,95,"['drama', 'fantasy', 'romance']",['US'],,tt5723282,4.9,1388,10.681,6.786,hulu
tm824283,A Piece of Cake,MOVIE,The legendary Elfkins (Heinzelmännchen) of Cologne were gnomes secretly helping craftsmen at night until they were ousted by a tailor's malevolent wife 200 years ago. This is the story of their return.,2020,PG,78,"['animation', 'comedy', 'family', 'fantasy', 'action', 'european']",['DE'],,tt9037650,6,509,10.311,6.6,hulu
tm497995,Tempting Fate,MOVIE,"Gabbys marriage to Elliott is jeopardized when she meets Matt. What begins as a business opportunity develops into an emotional affair, leading Gabby to succumb to his unrelenting attention; not foreseeing the life changing consequences.",2019,,87,"['drama', 'romance']","['US', 'CA']",,tt8700938,5.5,816,9.256,6.125,hulu
tm846194,How to Train Your Dragon: Snoggletog Log,MOVIE,"When Hiccup and Toothless begin sharing stories of their special relationship with their respective families as they prepare for the Snoggletog Festival, it quickly becomes clear that the new generation of Vikings don’t remember the bond between dragon and human.",2019,,28,"['animation', 'family']",[],,,,,6.926,6.2,hulu
tm902362,Good Boy,MOVIE,"When Maggie gets an emotional support dog to help quell some of her anxiety, she finds him to be even more effective than she imagined... because unbeknownst to her, he kills anyone who adds stress to her life.",2020,,89,"['horror', 'thriller', 'comedy']",['US'],,tt11828640,,,6.818,6.491,hulu
tm830600,Merry Liddle Christmas,MOVIE,"The messy family of a successful, super-together single tech entrepreneur descends on her gleaming new dream home for the holidays. Christmas traditions collide and family drama ensues as she struggles to keep her house together in time for a glossy video shoot of ""the perfect Christmas.""",2019,,90,"['romance', 'comedy', 'drama']","['CA', 'US']",,tt10887880,5.9,626,6.12,7.5,hulu
tm843290,Vic the Viking and the Magic Sword,MOVIE,"Vic dreams of going to sea as a member of the crew captained by Halvar, his father, who unfortunately thinks that the child is too weak to embark with him and his brave warriors in search of dangerous adventures; but fate will offer Vic the opportunity to prove to Halvar that he is a true Viking.",2019,,82,"['comedy', 'animation', 'action', 'family', 'european']","['DE', 'BE', 'FR']",,tt8065768,5.2,439,5.623,5.339,hulu
ts249896,Darwin's Yearbook,SHOW,"Darwin Watterson tries to complete Elmore Junior High's yearbook by examining who he thinks should be on the front cover. As he goes through his options, his friends go over everything they have done throughout the show.",2019,,12,"['animation', 'comedy']","['US', 'GB']",1,tt11715250,6.6,85,5.588,8.667,hulu
tm840381,A Christmas Movie Christmas,MOVIE,"Eve is a Christmas movie fanatic and dreams of having a movie-perfect Christmas with a movie-perfect boyfriend. On Christmas Eve, when Eve and her cynical sister Lacy make wishes to Santa, they wake up in Christmas Town and find themselves trapped inside a Christmas movie where they are the stars. But when things start to go wrong, and Eve's knowledge of all things Christmas movie fails to fix things, Eve and Lacy try to find a way out of the picture-perfect Christmas and back to reality.",2019,G,90,"['fantasy', 'action', 'romance', 'comedy']",['US'],,tt11096888,5.6,1453,5.564,5.5,hulu
tm840458,Rock N' Roll Christmas,MOVIE,"An estranged mother/daughter country music duo reunite after 10 years apart to release a Christmas single after a video of them goes viral. Now, they’re going to need a lot of forgiveness and a little Christmas magic to write a song that perfectly captures the spirit of Christmas and brings their family back together.",2019,PG,85,[],['CA'],,,,,5.554,6.3,hulu
tm830174,Holiday Date,MOVIE,"After a woman's boyfriend breaks up with her right before the holidays, she agrees to go home with an actor who will pose as her boyfriend.",2019,,84,"['drama', 'romance', 'comedy']","['CA', 'US']",,tt10768456,6.4,1729,5.399,6.3,hulu
tm827278,Abducted: The Mary Stauffer Story,MOVIE,"High school teacher Mary Stauffer and her eight-year old daughter, Beth are held captive for 53 days by an obsessed former student. Based on a true story.",2019,,87,"['drama', 'horror', 'thriller']",['US'],,tt10127490,5.7,533,5.352,6.744,hulu
ts269447,The Cars That Made the World,SHOW,"Telling the story of a group of rival engineers who created the most transformative invention of the 20th century, this docuseries explores over a century of innovation from Honda, Toyota, Mercedes, Ford, Porsche, Rolls Royce and more.",2020,TV-PG,41,"['documentation', 'history']",['GB'],1,tt13592594,7.3,126,5.235,8,hulu
tm908410,Search and Destroy,MOVIE,"When American Ranger John Cutter fails to save a family being held hostage and loses his entire team in a confrontation with infamous Ukrainian arms dealer Igor Rodin, he is discharged from the army.",2020,,92,"['drama', 'action', 'comedy']",['US'],,tt11791146,2.8,483,5.224,4.5,hulu
tm840754,Mistletoe & Menorahs,MOVIE,"When a determined toy company executive, Christy, must learn about Hanukkah in a hurry in order to land a big account, she enlists the help of her co-worker's friend Jonathan, who happens to also be in desperate need of turning his bachelor pad into a Christmas Wonderland to impress his girlfriend's father.",2019,,90,"['drama', 'comedy', 'romance']",['US'],,tt10975992,6.5,931,5.177,5.96,hulu
ts281215,The Gumball Chronicles,SHOW,The Gumball Chronicles is a spinoff mini-series based on The Amazing World of Gumball,2020,,12,"['comedy', 'animation']","['GB', 'US']",1,tt13980732,7.1,58,5.15,9.5,hulu
ts241605,Forged in Fire: Beat the Judges,SHOW,"In each episode, the best bladesmiths from all over the country come to the forge for a once-in-a-lifetime opportunity, to square off against our renowned Forged in Fire Masters in the highest stakes forging competition yet! If the challenger can find a way to prevail against our judge in an intense bladesmithing showdown, they'll walk away with $10K and eternal bragging rights.",2020,TV-PG,41,['reality'],['US'],1,tt12699108,8.5,183,5.071,9.3,hulu
tm921763,The Binge,MOVIE,"In the not-so-distant future, all drinking and drugs have been made completely illegal by the government, except for one night a year. High school seniors Griffin, Hags, and Andrew make a pilgrimage to get to the best party in town where all their dreams will come true. They will have to avoid their crazed principal, violent siblings, and the wild animals roaming the streets.",2020,,98,['comedy'],['US'],,tt10994688,5.3,4392,5.003,5.361,hulu
ts257411,Pikwik Pack,SHOW,Four animal friends work together to deliver magical surprises to the kind citizens of their bustling town.,2020,TV-14,24,['animation'],['CA'],1,tt13315378,8.2,68,4.97,10,hulu
tm475726,Deadly Influencer,MOVIE,"A young woman commits murder to keep her classmates' social media careers under her thumb. After killing a popular friend, she turns her sights on a new girl, but the girl's mother suspects the truth and will fight to protect her daughter.",2019,,85,"['thriller', 'crime', 'drama']",['CA'],,tt9251326,4.4,273,4.778,3.8,hulu
tm824561,The Obituary of Tunde Johnson,MOVIE,"A wealthy, Nigerian-American teenager is pulled over by police, shot to death, and immediately awakens, trapped in a terrifying time loop that forces him to confront difficult truths about his life and himself.",2019,,104,"['drama', 'thriller']",['US'],,tt8815382,5.7,560,4.692,5.824,hulu
tm483206,Escaping My Stalker,MOVIE,"A street kid, Taylor (Ezmie Garcia), has been adopted by Sandy (Alexandra Paul) & Larry (Linden Ashby). They run a shelter for people in need, and rescued Taylor from the street, and a life of crime. Unfortunately, Taylor's past may be catching up with her. She's got a stalker, and he means business. Can she figure out who's behind this, and why before her new life is snatched away?",2020,,84,['drama'],['US'],,tt9814242,5,165,4.558,5.893,hulu
tm830218,Double Holiday,MOVIE,"Rebecca endures working with her colleague and rival Chris to plan the office Christmas party in hopes of getting a promotion. While spending so much time together, will they take their eyes off the prize and see each other anew?",2019,,84,"['romance', 'drama']",['US'],,tt10768328,6.8,1470,4.418,7.227,hulu
ts232556,Two Pink Doors,SHOW,Eight clowns. Six tales. One shot. Two. Pink. Doors.,2019,,3,['comedy'],['US'],1,tt11621018,6.2,95,4.384,,hulu
ts225639,Your Attention Please,SHOW,This three-part series explores nine Black voices who are part of the next generation of excellence.,2020,,24,['documentation'],['US'],3,tt15392040,6.2,37,4.276,,hulu
ts192297,Morphle,SHOW,"Mila's dad runs the only magic pet store in the city - a fantastical place where you can find all sorts of cute and quirky pets who each have their own unique magic powers, and he has gifted Mila the most magic pet of all, Morphle.",2019,TV-Y,17,"['family', 'animation']",['NL'],5,tt10087694,4.3,112,4.144,6,hulu
tm918024,The Current Occupant,MOVIE,"Trapped in a mysterious psychiatric ward, a man with no memory comes to believe that he’s the President of the United States and the subject of a diabolical political conspiracy. As the asylum’s soul-crushing forces bear down on him, he fights to preserve his sanity and escape so that he can return to power.",2020,,86,"['thriller', 'horror']",['US'],,,,,4.125,5.604,hulu
tm882154,Pooka Lives!,MOVIE,"A group of thirty-something friends from high school create their own Creepypasta about Pooka for laughs, but are shocked when it becomes so viral on the internet that it actually manifests more murdererous versions of the creature.",2020,R,80,"['horror', 'comedy']",['US'],,tt11828642,,,4.11,5.948,hulu
ts225428,Wall of Chefs,SHOW,"Each challenge tests the skill and nerves of Canada’s home cooks as they battle in the Wall of Chefs kitchen, under the towering shadow of the country’s best chefs known as “The Wall.”",2020,,50,['reality'],['CA'],2,tt11357268,6.8,57,3.419,,hulu
tm848447,Midnight Kiss,MOVIE,"A group of gay friends head to Palm Springs to ring in the New Year. Things take a terrifying turn as the friends all search for someone to kiss at midnight, and invite a killer into their midst.",2019,,89,['horror'],['US'],,,,,3.249,5.511,hulu
ts190558,Kids Behind Bars: Life or Parole,SHOW,"The stories of convicted child offenders imprisoned for life without parole, but are seeking resentencing.",2019,TV-14,42,"['documentation', 'crime']",['US'],2,tt10132958,7.1,171,3.027,8,hulu
tm881169,Dramarama,MOVIE,"In 1994, a closeted teen struggles to part ways with his four high school drama friends at their final murder mystery party before they leave for college.",2020,,91,"['comedy', 'drama']",['US'],,tt10534030,6.4,535,3.006,6.462,hulu
tm830619,Sweet Mountain Christmas,MOVIE,"A musician who is set to headline a Christmas concert in New York City makes a pit-stop in Tennessee to see her family. When a freak snowstorm hits, she finds herself stranded in the town, and is roped into taking part in a local Christmas concert.",2019,,87,['romance'],"['DZ', 'CA']",,tt10963938,6.3,651,2.929,6.5,hulu
ts213880,Your Home Made Perfect,SHOW,"New visions for homes are revealed by virtual reality, but which will be built in reality?",2019,,57,['reality'],['GB'],4,tt8905152,8.3,326,2.831,6,hulu
tm935335,Christmas Ever After,MOVIE,"Popular romance novelist Izzi Simmons spends every Christmas at her favorite snowy bed & breakfast, but this year, she's faced with an impending deadline and a severe case of writer's block. Luckily, inspiration strikes in the unlikely form of the B&B's new owner Matt, who bears an uncanny resemblance to the handsome hero from Izzi's novels. As both partake in the lodge's annual itinerary of Christmas activities, Izzi's writer's block is cured and the first pages of her and Matt's own love story may just be beginning.",2020,,80,"['drama', 'romance']","['US', 'CA']",,tt13341908,6.2,800,2.636,6.7,hulu
tm935371,Merry Liddle Christmas Wedding,MOVIE,"Follows Jacquie Liddle as she and Tyler try to plan their perfect destination Christmas wedding. Naturally, Jacquie’s plans go awry when her boisterous family intervenes in her planning and her snooty wedding planner quits in protest. While nothing goes as initially planned, Jacquie and Tyler get a Christmas wedding more memorable than they could have ever dreamed.",2020,,80,"['romance', 'drama']","['CA', 'US']",,tt12821388,5.9,431,2.469,8,hulu
tm676429,Trapped: The Alex Cooper Story,MOVIE,"When a teenager reveals that she is gay to her devout Mormon parents, they decide to send her to a conversion therapy home in Utah.",2019,,87,['drama'],['US'],,tt10133224,6.3,533,2.412,5.2,hulu
tm859447,Materna,MOVIE,"A psychological portrait of four women, whose lives are bound together by an incident on the New York City subway.",2020,,105,['drama'],['US'],,tt11868198,4.8,256,2.323,,hulu
ts226577,Swamp People: Serpent Invasion,SHOW,"The Florida Everglades are under siege. An invasion of Burmese pythons is decimating this natural wonder of the South. Entire species of animals are being wiped out. Aggressive, ravenous and incredibly fast-breeding, these pythons have no natural predator to stop them… except for man.",2020,TV-PG,49,"['reality', 'action']",['US'],3,tt12599252,6.4,145,2.31,9.8,hulu
tm463390,StarDog and TurboCat,MOVIE,"When vigilante cat, Felix, and loyal canine, Buddy, set out to find Buddy’s lost owner, they discover not only the power of friendship, but their inner superpowers along the way.",2019,PG,90,"['animation', 'comedy', 'family', 'fantasy']",['GB'],,tt7531096,5.1,2441,2.232,7.2,hulu
tm836463,Swiped to Death,MOVIE,"Dating can be hell. When Olivia ‘swipes right’ on a handsome stranger, her world collides with some serious hidden danger.",2019,,7,['horror'],[],,,,,2.23,5.636,hulu
ts88043,Quarter Life Poetry,SHOW,"Poems for the young, broke and hangry.",2019,,3,"['drama', 'comedy']",['US'],1,tt15138148,8.6,51,2.192,,hulu
tm840773,A Christmas Winter Song,MOVIE,"Clio befriends Fred, a homeless former jazz singer down on his luck. They form a special bond over music, and Clio, having just lost her own father, helps Fred reconnect with his own daughter, just in time for Christmas.",2019,,90,"['comedy', 'drama']",['US'],,tt10309574,6.6,464,2.162,6,hulu
tm934516,Dear Santa,MOVIE,"An elixir to our current state, ""Dear Santa"" takes us on the fanciful and poignant journey of a little known program called Operation Santa. For more than 100 years, human elves have been helping Santa respond to the thousands of letters children write and mail to him. This gripping documentary crisscrosses the country, following the most emotional letters as the elves work hard to make sure each child’s Christmas dreams come true.",2020,,82,"['documentation', 'family']",['US'],,tt12590534,6.5,136,2.08,3.5,hulu
tm1000450,Death Saved My Life,MOVIE,A young boy feels Chris feel as though his family don't care about him and he's being bullied in school so he make a decision all by himself.,2019,PG-13,93,"['drama', 'thriller', 'horror']",['US'],,tt13646412,5.9,683,2.039,7.021,hulu
tm485251,A Christmas Love Story,MOVIE,"A youth choir director (Chenoweth) needs to write a big song for the Christmas Eve show but ""finds herself distracted"" when a boy with a golden voice (Kevin Quinn) joins her choir, which will come as news to his widowed father (Wolf).",2019,,84,"['drama', 'music', 'romance']",['US'],,tt9747440,6.9,1595,1.902,6.8,hulu
tm832728,A Christmas Crush,MOVIE,A woman makes a Christmas wish for her neighbor to fall in love with her but must enlist the help of her crush when her Christmas wish applies to the wrong neighbor.,2019,,87,"['comedy', 'romance']",['CA'],,tt10854916,4.5,732,1.834,5,hulu
ts234419,Family Home Overhaul,SHOW,"Family Home Overhaul is a Canadian home renovation reality series, featuring various HGTV designers working with deserving families who have been nominated by their communities to have the designer renovate their homes.",2020,,58,['reality'],['CA'],1,tt11814014,9.4,12,1.771,10,hulu
tm939181,The Big Scary “S” Word,MOVIE,What do we talk about when we talk about socialism in the US? The Big Scary “S” Word explores the rich history of the American socialist movement and the people striving to build a socialist future today.,2020,,85,['documentation'],['US'],,tt13297914,6.6,165,1.768,8,hulu
